iter	Passed	Remaining
0	1	193
1	3	185
2	5	180
3	6	160
4	8	155
5	9	152
6	11	153
7	13	150
8	14	147
9	16	145
10	17	143
11	22	166
12	24	166
13	26	161
14	27	157
15	39	205
16	41	201
17	43	199
18	45	194
19	48	192
20	50	191
21	53	188
22	55	184
23	56	179
24	58	175
25	62	179
26	65	176
27	66	171
28	68	168
29	70	163
30	72	160
31	73	155
32	74	152
33	76	148
34	77	144
35	79	140
36	80	137
37	81	133
38	83	131
39	85	127
40	86	124
41	87	120
42	88	117
43	90	115
44	92	113
45	94	110
46	95	108
47	97	105
48	98	102
49	100	100
50	101	97
51	102	95
52	104	92
53	105	90
54	106	87
55	108	84
56	109	82
57	111	81
58	114	79
59	115	77
60	117	75
61	119	73
62	121	71
63	122	69
64	124	66
65	137	71
66	140	69
67	142	66
68	144	64
69	148	63
70	151	62
71	153	59
72	157	58
73	160	56
74	163	54
75	167	52
76	169	50
77	172	48
78	173	46
79	176	44
80	177	41
81	180	39
82	182	37
83	187	35
84	192	33
85	194	31
86	197	29
87	200	27
88	202	25
89	205	22
90	207	20
91	208	18
92	210	15
93	212	13
94	215	11
95	216	9
96	218	6
97	220	4
98	222	2
99	223	0
