iter	Passed	Remaining
0	164	164828
1	167	83347
2	169	56175
3	175	43667
4	177	35309
5	179	29714
6	181	25755
7	183	22767
8	185	20459
9	187	18559
10	189	17010
11	191	15750
12	193	14674
13	198	13977
14	200	13147
15	201	12416
16	203	11779
17	205	11222
18	207	10709
19	209	10268
20	211	9842
21	212	9440
22	213	9071
23	214	8732
24	215	8420
25	217	8135
26	218	7867
27	220	7644
28	221	7421
29	223	7216
30	224	7018
31	225	6831
32	227	6658
33	228	6494
34	233	6432
35	235	6294
36	236	6159
37	238	6037
38	240	5918
39	241	5802
40	246	5755
41	247	5643
42	248	5531
43	249	5425
44	251	5330
45	252	5232
46	253	5139
47	254	5050
48	258	5022
49	260	4941
50	261	4862
51	262	4784
52	263	4714
53	265	4643
54	266	4573
55	267	4507
56	268	4442
57	269	4379
58	273	4363
59	274	4306
60	276	4248
61	277	4193
62	278	4148
63	280	4106
64	282	4056
65	283	4007
66	287	4004
67	288	3958
68	290	3913
69	291	3867
70	292	3824
71	293	3781
72	294	3739
73	295	3699
74	296	3659
75	297	3621
76	302	3625
77	303	3588
78	304	3552
79	305	3517
80	307	3483
81	308	3449
82	308	3411
83	309	3380
84	311	3351
85	316	3358
86	317	3332
87	318	3305
88	320	3280
89	322	3257
90	323	3233
91	325	3213
92	327	3195
93	328	3169
94	330	3148
95	331	3123
96	332	3099
97	334	3074
98	336	3058
99	340	3064
100	341	3043
101	343	3021
102	344	2999
103	345	2976
104	346	2955
105	347	2934
106	349	2915
107	350	2898
108	353	2885
109	354	2868
110	356	2851
111	357	2835
112	359	2819
113	361	2813
114	365	2815
115	367	2803
116	369	2786
117	371	2774
118	376	2785
119	377	2770
120	379	2759
121	386	2781
122	396	2828
123	412	2916
124	418	2932
125	429	2977
126	431	2963
127	434	2957
128	442	2989
129	445	2978
130	447	2968
131	449	2953
132	455	2971
133	458	2964
134	460	2951
135	462	2937
136	467	2944
137	470	2938
138	472	2923
139	474	2912
140	475	2898
141	476	2880
142	485	2909
143	488	2903
144	489	2889
145	491	2877
146	499	2897
147	503	2895
148	505	2886
149	506	2872
150	510	2872
151	514	2870
152	516	2859
153	521	2862
154	525	2865
155	527	2855
156	529	2844
157	531	2832
158	537	2845
159	541	2842
160	542	2828
161	549	2840
162	551	2830
163	553	2819
164	554	2807
165	555	2793
166	557	2781
167	562	2786
168	564	2776
169	565	2762
170	567	2749
171	568	2736
172	569	2723
173	570	2709
174	571	2696
175	578	2709
176	580	2697
177	581	2685
178	582	2672
179	583	2659
180	585	2648
181	586	2637
182	592	2646
183	594	2635
184	595	2624
185	597	2614
186	599	2606
187	601	2598
188	606	2602
189	608	2593
190	610	2584
191	612	2575
192	621	2598
193	623	2589
194	625	2580
195	626	2571
196	632	2578
197	633	2567
198	634	2555
199	636	2547
200	638	2536
201	639	2525
202	640	2514
203	644	2514
204	646	2508
205	648	2497
206	649	2486
207	650	2477
208	652	2469
209	654	2461
210	660	2468
211	661	2459
212	663	2450
213	665	2443
214	666	2434
215	667	2424
216	669	2414
217	675	2421
218	676	2412
219	678	2404
220	679	2396
221	681	2387
222	683	2380
223	686	2378
224	688	2372
225	690	2363
226	691	2354
227	692	2344
228	693	2335
229	694	2325
230	695	2316
231	697	2307
232	701	2307
233	702	2300
234	703	2291
235	705	2283
236	706	2274
237	707	2265
238	708	2256
239	709	2247
240	710	2238
241	712	2230
242	715	2230
243	717	2223
244	719	2216
245	720	2209
246	721	2201
247	723	2193
248	727	2194
249	728	2186
250	729	2178
251	731	2171
252	732	2162
253	733	2154
254	734	2146
255	735	2138
256	737	2131
257	738	2123
258	742	2125
259	744	2117
260	745	2110
261	746	2102
262	747	2095
263	748	2087
264	749	2079
265	750	2072
266	752	2067
267	758	2071
268	772	2099
269	774	2093
270	776	2089
271	785	2102
272	787	2098
273	790	2094
274	792	2090
275	795	2086
276	798	2083
277	799	2077
278	802	2073
279	804	2069
280	806	2063
281	811	2066
282	813	2060
283	815	2054
284	816	2048
285	818	2044
286	820	2039
287	826	2043
288	828	2038
289	830	2032
290	832	2028
291	834	2022
292	835	2016
293	837	2012
294	839	2006
295	841	2001
296	843	1995
297	845	1990
298	850	1993
299	852	1988
300	854	1984
301	856	1980
302	859	1976
303	865	1981
304	867	1977
305	869	1972
306	872	1970
307	875	1967
308	881	1970
309	883	1967
310	892	1976
311	895	1975
312	898	1971
313	900	1967
314	906	1971
315	908	1966
316	910	1962
317	912	1957
318	914	1952
319	919	1954
320	921	1949
321	923	1944
322	925	1939
323	926	1934
324	928	1929
325	935	1933
326	937	1928
327	938	1923
328	940	1917
329	941	1912
330	943	1907
331	949	1909
332	952	1906
333	954	1903
334	957	1899
335	965	1908
336	967	1903
337	969	1899
338	971	1894
339	973	1889
340	975	1885
341	977	1880
342	979	1876
343	981	1871
344	983	1866
345	987	1867
346	990	1863
347	992	1859
348	994	1855
349	996	1850
350	998	1845
351	1003	1846
352	1004	1842
353	1006	1837
354	1008	1832
355	1010	1828
356	1012	1823
357	1017	1824
358	1019	1820
359	1021	1816
360	1023	1811
361	1025	1807
362	1027	1802
363	1032	1804
364	1034	1800
365	1036	1796
366	1039	1792
367	1042	1789
368	1047	1791
369	1050	1788
370	1053	1786
371	1055	1782
372	1061	1784
373	1063	1779
374	1065	1775
375	1067	1771
376	1068	1766
377	1070	1761
378	1075	1762
379	1077	1758
380	1079	1753
381	1081	1749
382	1083	1745
383	1084	1740
384	1089	1740
385	1092	1737
386	1094	1733
387	1097	1730
388	1098	1726
389	1104	1727
390	1106	1723
391	1108	1720
392	1110	1715
393	1112	1711
394	1114	1707
395	1120	1709
396	1122	1704
397	1124	1700
398	1126	1696
399	1128	1692
400	1132	1691
401	1135	1688
402	1137	1684
403	1140	1682
404	1143	1679
405	1149	1682
406	1151	1677
407	1153	1674
408	1155	1669
409	1157	1665
410	1162	1666
411	1164	1661
412	1166	1657
413	1169	1655
414	1171	1651
415	1180	1656
416	1184	1656
417	1193	1662
418	1204	1669
419	1206	1666
420	1210	1664
421	1212	1661
422	1222	1667
423	1225	1664
424	1230	1665
425	1233	1662
426	1235	1658
427	1237	1654
428	1239	1650
429	1241	1645
430	1246	1645
431	1247	1640
432	1249	1635
433	1250	1631
434	1252	1626
435	1253	1621
436	1255	1617
437	1260	1617
438	1262	1612
439	1263	1607
440	1264	1602
441	1265	1598
442	1267	1593
443	1269	1589
444	1276	1592
445	1278	1588
446	1280	1584
447	1282	1580
448	1285	1576
449	1291	1578
450	1294	1575
451	1296	1571
452	1298	1567
453	1300	1563
454	1302	1560
455	1305	1556
456	1307	1553
457	1309	1549
458	1312	1546
459	1314	1542
460	1316	1539
461	1318	1535
462	1321	1532
463	1323	1528
464	1330	1530
465	1333	1527
466	1335	1524
467	1343	1527
468	1345	1523
469	1349	1521
470	1352	1519
471	1360	1521
472	1363	1518
473	1366	1516
474	1373	1518
475	1377	1516
476	1380	1513
477	1382	1509
478	1390	1512
479	1392	1508
480	1395	1505
481	1401	1506
482	1404	1503
483	1408	1501
484	1418	1505
485	1421	1503
486	1423	1499
487	1426	1496
488	1428	1493
489	1431	1490
490	1433	1486
491	1435	1482
492	1437	1478
493	1439	1474
494	1441	1470
495	1443	1466
496	1444	1462
497	1446	1457
498	1447	1453
499	1452	1452
500	1454	1448
501	1455	1444
502	1457	1439
503	1458	1435
504	1459	1430
505	1462	1427
506	1467	1427
507	1469	1422
508	1470	1418
509	1472	1414
510	1474	1410
511	1476	1407
512	1481	1406
513	1485	1404
514	1487	1400
515	1489	1396
516	1491	1393
517	1495	1391
518	1497	1387
519	1499	1383
520	1500	1379
521	1501	1375
522	1502	1370
523	1504	1366
524	1505	1362
525	1507	1358
526	1508	1353
527	1509	1349
528	1510	1344
529	1511	1340
530	1512	1336
531	1513	1331
532	1518	1330
533	1519	1325
534	1520	1321
535	1521	1317
536	1522	1312
537	1523	1308
538	1525	1304
539	1526	1300
540	1527	1296
541	1532	1295
542	1534	1291
543	1535	1287
544	1536	1282
545	1538	1278
546	1539	1274
547	1541	1271
548	1542	1267
549	1546	1265
550	1547	1261
551	1548	1257
552	1550	1252
553	1551	1248
554	1552	1244
555	1553	1240
556	1555	1236
557	1556	1232
558	1557	1228
559	1561	1227
560	1562	1223
561	1564	1219
562	1565	1214
563	1566	1210
564	1567	1206
565	1568	1202
566	1570	1199
567	1571	1195
568	1575	1193
569	1577	1190
570	1579	1186
571	1580	1182
572	1582	1179
573	1585	1176
574	1596	1179
575	1598	1176
576	1607	1178
577	1609	1175
578	1612	1172
579	1614	1168
580	1619	1168
581	1622	1165
582	1624	1162
583	1627	1159
584	1630	1156
585	1633	1153
586	1634	1150
587	1636	1146
588	1638	1143
589	1640	1140
590	1642	1136
591	1648	1135
592	1649	1132
593	1651	1129
594	1653	1125
595	1655	1122
596	1660	1120
597	1662	1117
598	1665	1114
599	1667	1111
600	1671	1109
601	1676	1108
602	1678	1105
603	1680	1101
604	1682	1098
605	1684	1095
